tipo	subtipo	razon_social	descripcion	path	precio_total
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Andreani Logística S.A.	Servicios de Operación Logísitica para los Juegos Olímpicos de la Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Andreani Logística S.A._Servicios de Operación Logísitica para los Juegos Olímpicos de la Juventud Buenos Aires 2018	100313996.3
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ANAMILO S.R.L.	Alimentación en Sedes	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ANAMILO S.R.L._Alimentación en Sedes	10013436
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ARCOR SAIC	Alimentación en Sedes	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ARCOR SAIC_Alimentación en Sedes	3081502
CONVOCATORIA ABIERTA	LICITACION PUBLICA	CATEYCO S.A.	Alimentación en Sedes	CONVOCATORIA ABIERTA_LICITACION PUBLICA_CATEYCO S.A._Alimentación en Sedes	22375948.94
CONVOCATORIA ABIERTA	LICITACION PUBLICA	KA ARGENTINA SA	Prov. De Indumentaria para los Juegos Olímpicos de la Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_KA ARGENTINA SA_Prov. De Indumentaria para los Juegos Olímpicos de la Juventud Buenos Aires 2018	42661130
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	YLUM S.A.	Adquisición de artículos de luminaria, electricidad y ferretería para la UPEJOL	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_YLUM S.A._Adquisición de artículos de luminaria, electricidad y ferretería para la UPEJOL	49300
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	JUAN MARCELO TORTORELLI	Adquisición de artículos de luminaria, electricidad y ferretería para la UPEJOL	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_JUAN MARCELO TORTORELLI_Adquisición de artículos de luminaria, electricidad y ferretería para la UPEJOL	4836
CONVOCATORIA ABIERTA	LICITACION PUBLICA	RODOLFO CRESPI E HIJOS SRL	Servicio de Provisión y Conservación de Hielo para los Juegos Olímpicos de la Juventud Buenos Aires	CONVOCATORIA ABIERTA_LICITACION PUBLICA_RODOLFO CRESPI E HIJOS SRL_Servicio de Provisión y Conservación de Hielo para los Juegos Olímpicos de la Juventud Buenos Aires	951397.7
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	MATRICE CONSULTING S.R.L.	Servicio de Asistencia en el relevamiento, definición y documentación para la Gestión del Patrimonio	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_MATRICE CONSULTING S.R.L._Servicio de Asistencia en el relevamiento, definición y documentación para la Gestión del Patrimonio	394000
CONVOCATORIA ABIERTA	LICITACION PUBLICA	LX ARGENTINA S.A.	Servicio Integral de Mantenimiento para la Zona Residencial de la Villa Olímpica de la Juventud	CONVOCATORIA ABIERTA_LICITACION PUBLICA_LX ARGENTINA S.A._Servicio Integral de Mantenimiento para la Zona Residencial de la Villa Olímpica de la Juventud	23798000
CONVOCATORIA ABIERTA	LICITACION PUBLICA	LX ARGENTINA S.A.	Servicio Integral de Limpieza para los Parques Verde y Urbano de los JJOO de la Juventud Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_LX ARGENTINA S.A._Servicio Integral de Limpieza para los Parques Verde y Urbano de los JJOO de la Juventud Bs As 2018	7196972.21
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	IGNACIO BOTTESI Y LUIS VICTORIO BOTTESI SH	Adquisición e instalación de arcos inflables	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_IGNACIO BOTTESI Y LUIS VICTORIO BOTTESI SH_Adquisición e instalación de arcos inflables	225635
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	SUPERACCION SRL	Servicio de Producción Integral "Senderos Pictogramas"	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_SUPERACCION SRL_Servicio de Producción Integral "Senderos Pictogramas"	340000
CONVOCATORIA ABIERTA	LICITACION PUBLICA	SOLUCIONES INFORMATICAS INTEGRALES S.A.	Svcio Integral de Impresión Administrado para los Juegos Olímpicos de la Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_SOLUCIONES INFORMATICAS INTEGRALES S.A._Svcio Integral de Impresión Administrado para los Juegos Olímpicos de la Juventud Buenos Aires 2018	2089181.56
CONVOCATORIA ABIERTA	LICITACION PUBLICA	HERNAN JAVIER FIORINI	Servicios de catering de alimentos y bebidas con destino a la UPEJOL	CONVOCATORIA ABIERTA_LICITACION PUBLICA_HERNAN JAVIER FIORINI_Servicios de catering de alimentos y bebidas con destino a la UPEJOL	691380.25
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ARGENPROM S.R.L.	Adquisición de banderas Protocolares y Banderas de Ceremonia	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ARGENPROM S.R.L._Adquisición de banderas Protocolares y Banderas de Ceremonia	5586132.98
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MULTIRADIO S.A	Servicios de Comunicaciones Radio-eléctricas para los Juegos Olímpicos de la Juventud Bs. As. 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MULTIRADIO S.A_Servicios de Comunicaciones Radio-eléctricas para los Juegos Olímpicos de la Juventud Bs. As. 2018	11544380
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	FACUNDO ADRIAN ORTIZ GUERREIRO	Adquisición de Notebooks	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_FACUNDO ADRIAN ORTIZ GUERREIRO_Adquisición de Notebooks	409500
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Lavecchia Sonido S.R.L. U.T.	Contratación de un servicio de equipamiento audiovisual para los JJOO de la Juventud Bs. As. 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Lavecchia Sonido S.R.L. U.T._Contratación de un servicio de equipamiento audiovisual para los JJOO de la Juventud Bs. As. 2018	46259000
CONVOCATORIA ABIERTA	LICITACION PUBLICA	VIDITEC S.A.	Contratación de un servicio de equipamiento audiovisual para los JJOO de la Juventud Bs. As. 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_VIDITEC S.A._Contratación de un servicio de equipamiento audiovisual para los JJOO de la Juventud Bs. As. 2018	18189040.18
CONVOCATORIA ABIERTA	LICITACION PUBLICA	TELEFONICA MOVILES ARGENTINA S.A.	Servicio de comunicaciones de telefonía celular con destino los JOJ BA 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_TELEFONICA MOVILES ARGENTINA S.A._Servicio de comunicaciones de telefonía celular con destino los JOJ BA 2018	5277894.19
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	UTN (Universidad Tecnológica Nacional)	Servicio Integral de Implementación de la Norma ISO 20121 	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_UTN (Universidad Tecnológica Nacional)_Servicio Integral de Implementación de la Norma ISO 20121 	2718900
CONVOCATORIA ABIERTA	LICITACION PUBLICA	NEOSECURE SA	Servicios de Seguridad Informática para los Juegos Olímpicos de la Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_NEOSECURE SA_Servicios de Seguridad Informática para los Juegos Olímpicos de la Juventud Buenos Aires 2018	15201846
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	Coca Cola Femsa de Buenos Aires S.A.	Servicio Integral de Hidratación con Inst, Mant y Desinst para los JOJ Buenos Aires 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_Coca Cola Femsa de Buenos Aires S.A._Servicio Integral de Hidratación con Inst, Mant y Desinst para los JOJ Buenos Aires 2018	35700579.65
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	BBHO PRODUCCIONES SOCIEDAD DE RESPONSABILIDAD LIMITADA	Servicio de colocación de vinilos en ventanas de apartamentos de la Villa Olímpica.	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_BBHO PRODUCCIONES SOCIEDAD DE RESPONSABILIDAD LIMITADA_Servicio de colocación de vinilos en ventanas de apartamentos de la Villa Olímpica.	815785.71
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Lascan SRL	Servicio de diseño, producción, montaje, mantenimiento y desarme de estructura de banderas	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Lascan SRL_Servicio de diseño, producción, montaje, mantenimiento y desarme de estructura de banderas	2347620
CONVOCATORIA ABIERTA	LICITACION PUBLICA	GRUPO MSA S.A.	Provisión de pulseras identificatorias para el ingreso de los JJOO 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_GRUPO MSA S.A._Provisión de pulseras identificatorias para el ingreso de los JJOO 2018	7491000
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	INTEGRISYS SA	Adquisición de identificadores de llaves para los residentes de la Villa Olímpica de la Juventud	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_INTEGRISYS SA_Adquisición de identificadores de llaves para los residentes de la Villa Olímpica de la Juventud	69240.6
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Estructuras y Servicios S.A. - Fast Engenharia e Montagens S.A. Sucursal Argentina Unión Transitoria	Serv. De Provisión Integral de los Equip. Temporarios para los J. Olímpicos de la Juv Bs As 2018 	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Estructuras y Servicios S.A. - Fast Engenharia e Montagens S.A. Sucursal Argentina Unión Transitoria_Serv. De Provisión Integral de los Equip. Temporarios para los J. Olímpicos de la Juv Bs As 2018 	539168844.2
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Sullair Argentina S.A.	Serv. De Provisión Integral de los Equip. Temporarios para los J. Olímpicos de la Juv Bs As 2018 	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Sullair Argentina S.A._Serv. De Provisión Integral de los Equip. Temporarios para los J. Olímpicos de la Juv Bs As 2018 	53650000
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	IVAN EZEQUIEL ARDIZON	Servicio integral de alquiler, instalación y mantenimiento de contenedores refrigerados	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_IVAN EZEQUIEL ARDIZON_Servicio integral de alquiler, instalación y mantenimiento de contenedores refrigerados	500000
CONVOCATORIA ABIERTA	LICITACION PUBLICA	SITEPRA S.A.	Servicio de Lavandería para el Residente de la Villa Olímpica de la Juventud	CONVOCATORIA ABIERTA_LICITACION PUBLICA_SITEPRA S.A._Servicio de Lavandería para el Residente de la Villa Olímpica de la Juventud	12793635
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Prisma Constructora S.R.L.	Servicio de Obras Civiles de Tabiqueria e Inst. de Energía Eléctroca e Iluminación en la V. Olímpica 	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Prisma Constructora S.R.L._Servicio de Obras Civiles de Tabiqueria e Inst. de Energía Eléctroca e Iluminación en la V. Olímpica 	28771425
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	GUMMA SRL	PROVISIÓN DE DOS SUPERFICIES BALONCESTO 3X3 Y SERVICIO DE INST. Y MANT. JOJ BS AS 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_GUMMA SRL_PROVISIÓN DE DOS SUPERFICIES BALONCESTO 3X3 Y SERVICIO DE INST. Y MANT. JOJ BS AS 2018	822672.79
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	DEGLAP S.A.	Prov. de Equipamiento Deportivo Canotaje con Serv. de Asist. Técnica y Mant. JOJ Buenos Aires 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_DEGLAP S.A._Prov. de Equipamiento Deportivo Canotaje con Serv. de Asist. Técnica y Mant. JOJ Buenos Aires 2018	2496328.93
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	DEGLAP S.A.	Prov. de Equipamiento Deportivo Aros Baloncesto 3x3 con Serv. Inst. Mant. y Desinst. JOJ Bs As 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_DEGLAP S.A._Prov. de Equipamiento Deportivo Aros Baloncesto 3x3 con Serv. Inst. Mant. y Desinst. JOJ Bs As 2018	1549515.43
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	CENTORBI S.A.	Provisión de Equipamiento Deportivo Balones y Accesorios Voleibol Playa JOJ Buenos Aires 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_CENTORBI S.A._Provisión de Equipamiento Deportivo Balones y Accesorios Voleibol Playa JOJ Buenos Aires 2018	570410.83
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	OSVALDO SOCIEDAD ANONIMA COMERCIAL E INDUSTRIAL	Provisión de Equipamiento Deportivo de Cancha Voleibol Playa JOJ Buenos Aires 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_OSVALDO SOCIEDAD ANONIMA COMERCIAL E INDUSTRIAL_Provisión de Equipamiento Deportivo de Cancha Voleibol Playa JOJ Buenos Aires 2018	1971215.07
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	SUPERBRANDS SA	Prov. de Equipamiento Deportivo de Bádminton con Serv. de Inst Mant y Desinst. JOJ Buenos Aires 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_SUPERBRANDS SA_Prov. de Equipamiento Deportivo de Bádminton con Serv. de Inst Mant y Desinst. JOJ Buenos Aires 2018	3666229.48
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ALIDOT S. R. L.	Provisión de equipamiento deportivo de Pelotas de Baloncesto 3x3 JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ALIDOT S. R. L._Provisión de equipamiento deportivo de Pelotas de Baloncesto 3x3 JOJ Buenos Aires 2018	83626.83
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ESAT SA	Provisión de Equipamiento Deportivo de Pelotas de Tenis JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ESAT SA_Provisión de Equipamiento Deportivo de Pelotas de Tenis JOJ Buenos Aires 2018	157047.6
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	KA ARGENTINA SA	Prov. de Equipamiento Deportivo Pentatlón M. Blancos con Serv. Inst. Mant. y Desinst. JOJ Bs As 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_KA ARGENTINA SA_Prov. de Equipamiento Deportivo Pentatlón M. Blancos con Serv. Inst. Mant. y Desinst. JOJ Bs As 2018	3674381.47
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	KA ARGENTINA SA	Provisión de Equipamiento Deportivo Pentatlón Moderno (Pistolas Láser) JOJ Buenos Aires 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_KA ARGENTINA SA_Provisión de Equipamiento Deportivo Pentatlón Moderno (Pistolas Láser) JOJ Buenos Aires 2018	760042.75
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	KA ARGENTINA SA	Prov. de Equipamiento Deportivo Esgrima y P. Moderno con Serv. Inst. Mant. y Desinst. JOJ Bs As 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_KA ARGENTINA SA_Prov. de Equipamiento Deportivo Esgrima y P. Moderno con Serv. Inst. Mant. y Desinst. JOJ Bs As 2018	2356829.58
CONVOCATORIA ABIERTA	LICITACION PUBLICA	RESINSA SA	Prov. de Equipamiento Deportivo de Hockey con Serv. Inst. Mant. y Desinst. JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_RESINSA SA_Prov. de Equipamiento Deportivo de Hockey con Serv. Inst. Mant. y Desinst. JOJ Buenos Aires 2018	3400802.34
CONVOCATORIA ABIERTA	LICITACION PUBLICA	IMAGEN Y TECNOLOGIA DEL SUR S.A.	Prov. de Equipamiento Deportivo Remo con Serv. de Mantenimiento y Reparación JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_IMAGEN Y TECNOLOGIA DEL SUR S.A._Prov. de Equipamiento Deportivo Remo con Serv. de Mantenimiento y Reparación JOJ Buenos Aires 2018	10912109
CONVOCATORIA ABIERTA	LICITACION PUBLICA	COMMERCIAL CARPETS S.A.	Provisión de Equipamiento Deportivo de Tenis de Mesa (separadores) JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_COMMERCIAL CARPETS S.A._Provisión de Equipamiento Deportivo de Tenis de Mesa (separadores) JOJ Buenos Aires 2018	269358.75
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	DEGLAP S.A.	Prov. de Equipamiento Deportivo B, T, J, L y K con Serv. Inst. Mant. y Desinst. JOJ Bs As 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_DEGLAP S.A._Prov. de Equipamiento Deportivo B, T, J, L y K con Serv. Inst. Mant. y Desinst. JOJ Bs As 2018	14048174.85
CONVOCATORIA ABIERTA	LICITACION PUBLICA	HARD CRAFT S.A	Prov. de Equipamiento Deportivo de Lanchas/Gomones para la Competencia de Vela JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_HARD CRAFT S.A_Prov. de Equipamiento Deportivo de Lanchas/Gomones para la Competencia de Vela JOJ Buenos Aires 2018	4581977.76
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MELENZANE SA	Prov. de Equipamiento Deportivo de Lanchas/Gomones para la Competencia de Vela JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MELENZANE SA_Prov. de Equipamiento Deportivo de Lanchas/Gomones para la Competencia de Vela JOJ Buenos Aires 2018	2912004
CONVOCATORIA ABIERTA	LICITACION PUBLICA	IMAGEN Y TECNOLOGIA DEL SUR S.A.	Provisión de dos superficies de juego de Futsal con Servicio de Inst. y Mant. JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_IMAGEN Y TECNOLOGIA DEL SUR S.A._Provisión de dos superficies de juego de Futsal con Servicio de Inst. y Mant. JOJ Buenos Aires 2018	6142967.52
CONVOCATORIA ABIERTA	LICITACION PUBLICA	LEONARDO SAMUEL CIRO	Prov. de Equipamiento Deportivo de Boyas para la Compet. de Vela y Triatlón JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_LEONARDO SAMUEL CIRO_Prov. de Equipamiento Deportivo de Boyas para la Compet. de Vela y Triatlón JOJ Buenos Aires 2018	326600
CONVOCATORIA ABIERTA	LICITACION PUBLICA	UNISER S.A.	Prov. de Equipamiento Deportivo de Boyas para la Compet. de Vela y Triatlón JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_UNISER S.A._Prov. de Equipamiento Deportivo de Boyas para la Compet. de Vela y Triatlón JOJ Buenos Aires 2018	343348
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	ALIDOT S. R. L.	Provisión de Equipamiento Deportivo de Rugby Juegos Olímpicos de la Juventud Buenos Aires 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_ALIDOT S. R. L._Provisión de Equipamiento Deportivo de Rugby Juegos Olímpicos de la Juventud Buenos Aires 2018	379746
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	CARBIT S.A.	Prov. de Eq. Deportivo de Levantamiento de Pesas con Serv. de Inst. Mant. y Desinst. JOJ Bs As 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_CARBIT S.A._Prov. de Eq. Deportivo de Levantamiento de Pesas con Serv. de Inst. Mant. y Desinst. JOJ Bs As 2018	8973475
CONVOCATORIA ABIERTA	LICITACION PUBLICA	CARLOS FILIPPA	Provisión de Equipamiento Deportivo de Taekwondo, Judo y Karate Juegos Olímpicos Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_CARLOS FILIPPA_Provisión de Equipamiento Deportivo de Taekwondo, Judo y Karate Juegos Olímpicos Buenos Aires 2018	245747.75
CONVOCATORIA ABIERTA	LICITACION PUBLICA	IPORA GUAZU S.A.	Prov. de Eq. Deport. Canot, Remo y Triatlón (Pontones) con Serv. de Inst. Mant y Desinst. JOJ 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_IPORA GUAZU S.A._Prov. de Eq. Deport. Canot, Remo y Triatlón (Pontones) con Serv. de Inst. Mant y Desinst. JOJ 2018	6950114.15
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	COMMERCIAL CARPETS S.A.	Prov. de Equipamiento Deportivo de Tiro con Serv. Inst. Mant. y Desinstalación JOJ Buenos Aires 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_COMMERCIAL CARPETS S.A._Prov. de Equipamiento Deportivo de Tiro con Serv. Inst. Mant. y Desinstalación JOJ Buenos Aires 2018	10322044.52
CONVOCATORIA ABIERTA	LICITACION PUBLICA	PEPAN S.A.	Prov. de Alfombras, Piso Flotante y Cortinas/Polleras con Servicio de Inst y Mant. JOJ Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_PEPAN S.A._Prov. de Alfombras, Piso Flotante y Cortinas/Polleras con Servicio de Inst y Mant. JOJ Bs As 2018	1084915.9
CONVOCATORIA ABIERTA	LICITACION PUBLICA	SALOMON CHAMMA, MAURICIO CHAMMA, MARCOS E. CHAMMA S-H	Prov. de Alfombras, Piso Flotante y Cortinas/Polleras con Servicio de Inst y Mant. JOJ Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_SALOMON CHAMMA, MAURICIO CHAMMA, MARCOS E. CHAMMA S-H_Prov. de Alfombras, Piso Flotante y Cortinas/Polleras con Servicio de Inst y Mant. JOJ Bs As 2018	618744
CONVOCATORIA ABIERTA	LICITACION PUBLICA	FULLEXPRESS FACTORY SRL	Prov. de Alfombras, Piso Flotante y Cortinas/Polleras con Servicio de Inst y Mant. JOJ Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_FULLEXPRESS FACTORY SRL_Prov. de Alfombras, Piso Flotante y Cortinas/Polleras con Servicio de Inst y Mant. JOJ Bs As 2018	76680
CONVOCATORIA ABIERTA	LICITACION PUBLICA	VIEL357SRL	Prov. de Alfombras, Piso Flotante y Cortinas/Polleras con Servicio de Inst y Mant. JOJ Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_VIEL357SRL_Prov. de Alfombras, Piso Flotante y Cortinas/Polleras con Servicio de Inst y Mant. JOJ Bs As 2018	2643851
CONVOCATORIA ABIERTA	LICITACION PUBLICA	CORTIZO CARLOS PATRICIO Y CASUZA GONZALO FABIAN S.S.	Prov. Temporal de Eq. Deportivo Zona de Transición-Triatlón con Serv. Inst. Mant y Desinst. JOJ 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_CORTIZO CARLOS PATRICIO Y CASUZA GONZALO FABIAN S.S._Prov. Temporal de Eq. Deportivo Zona de Transición-Triatlón con Serv. Inst. Mant y Desinst. JOJ 2018	1507052
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	COMMERCIAL CARPETS S.A.	Provisión de Equipamiento Deportivo de Tenis Palos de Single y Postes de Red JOJ Buenos Aires 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_COMMERCIAL CARPETS S.A._Provisión de Equipamiento Deportivo de Tenis Palos de Single y Postes de Red JOJ Buenos Aires 2018	587471
CONVOCATORIA ABIERTA	LICITACION PUBLICA	DEGLAP S.A.	Prov. de Equipamiento Deportivo de Gimnasia con Serv. Inst. Mant. y Desinst. JOJ Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_DEGLAP S.A._Prov. de Equipamiento Deportivo de Gimnasia con Serv. Inst. Mant. y Desinst. JOJ Buenos Aires 2018	21349520
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	KA ARGENTINA SA	Servicio de Asistencia Técnica para inst, mant y desinst de Esgrima y P. Moderno JOJ Bs As 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_KA ARGENTINA SA_Servicio de Asistencia Técnica para inst, mant y desinst de Esgrima y P. Moderno JOJ Bs As 2018	348323
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	IMAGEN Y TECNOLOGIA DEL SUR S.A.	Provisión de Equipamiento Deportivo de Atletismo con Servicio de Inst y Mant. JOJ Bs As 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_IMAGEN Y TECNOLOGIA DEL SUR S.A._Provisión de Equipamiento Deportivo de Atletismo con Servicio de Inst y Mant. JOJ Bs As 2018	19967777
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	CARBIT S.A.	Provisión de Equipamiento Deportivo de Tiro con Arco Juegos Olímpicos de la Juventud Bs As 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_CARBIT S.A._Provisión de Equipamiento Deportivo de Tiro con Arco Juegos Olímpicos de la Juventud Bs As 2018	1364615
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ESTILO QUARZO SRL	Servicio de Construcción Temporal de Obstáculos para Circuito de Ciclismo de Montaña JOJ Bs As 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ESTILO QUARZO SRL_Servicio de Construcción Temporal de Obstáculos para Circuito de Ciclismo de Montaña JOJ Bs As 2018	4011241.54
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MELENZANE SA	Provisión de Equipamiento Deportivo de Triátlon JOJ Bs As 2018. R2 y R4	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MELENZANE SA_Provisión de Equipamiento Deportivo de Triátlon JOJ Bs As 2018. R2 y R4	498440
CONVOCATORIA ABIERTA	LICITACION PUBLICA	IMAGEN Y TECNOLOGIA DEL SUR S.A.	Prov. de Equipamiento Deportivo de Accesorios de Futsal-Juegos Olímpicos Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_IMAGEN Y TECNOLOGIA DEL SUR S.A._Prov. de Equipamiento Deportivo de Accesorios de Futsal-Juegos Olímpicos Juventud Buenos Aires 2018	546843.84
CONVOCATORIA DIRECTA	CONTRATACIÓN DIRECTA	Commercial Carpets S.A.	Servicio de Inst., Mant. y Desinst. con Prov. Temporal de Pistas para Canotaje y Remo JOJ Bs As 2018	CONVOCATORIA DIRECTA_CONTRATACIÓN DIRECTA_Commercial Carpets S.A._Servicio de Inst., Mant. y Desinst. con Prov. Temporal de Pistas para Canotaje y Remo JOJ Bs As 2018	6345559.33
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	STAR GOLF SRL	Provisión de Equipamiento Deportivo de Golf Juegos Olímpicos de la Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_STAR GOLF SRL_Provisión de Equipamiento Deportivo de Golf Juegos Olímpicos de la Juventud Buenos Aires 2018	297768
CONVOCATORIA ABIERTA	LICITACION PUBLICA	Fernando Mariño	Provisión de Equip. Dep. de Escalada Deportiva con Serv. de Inst. Mant. Desisnt y Desmont. JOJ 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_Fernando Mariño_Provisión de Equip. Dep. de Escalada Deportiva con Serv. de Inst. Mant. Desisnt y Desmont. JOJ 2018	1765708.55
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	ALBERDI NÚÑEZ SRL	Adquisición de Acreditaciones e Identificaciones de Atletas "Juegos Olímpicos de la Juventud 2018"	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ALBERDI NÚÑEZ SRL_Adquisición de Acreditaciones e Identificaciones de Atletas "Juegos Olímpicos de la Juventud 2018"	205739.77
